Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,28.785381,28.815191,28.561815,28.686020,15.866716,1706200
2010-01-05,28.745638,28.790350,28.457485,28.676083,15.861219,1400000
2010-01-06,28.695955,28.790350,28.551880,28.780415,15.918927,1748400
2010-01-07,28.616465,28.755573,28.377995,28.492262,15.759542,1515900
2010-01-08,28.417740,28.422709,28.144493,28.417740,15.718330,1412500
2010-01-11,28.462454,28.576721,28.109716,28.243855,15.622148,1298600
2010-01-12,28.139524,28.139524,27.786787,27.935831,15.451776,1804600
2010-01-13,27.950735,28.308441,27.915958,28.228951,15.613902,1203900
2010-01-14,28.258760,28.377995,28.069971,28.323345,15.666115,1453500
2010-01-15,28.273664,28.338249,27.692392,27.801691,15.377578,1624600
2010-01-19,27.742073,28.323345,27.677488,28.323345,15.666115,1848500
2010-01-20,28.099779,28.099779,27.801691,28.065002,15.523220,1619400
2010-01-21,28.055065,28.144493,27.240292,27.319782,15.111025,2615400
2010-01-22,27.275068,27.275068,26.420549,26.445391,14.627387,2542500
2010-01-25,26.549721,26.668957,26.182079,26.430485,14.619144,2322200
2010-01-26,26.400677,26.400677,26.182079,26.201952,14.492735,2043900
2010-01-27,26.192015,26.276474,25.804501,26.047939,14.407555,3069500
2010-01-28,26.182079,26.216856,25.590870,25.903864,14.327859,2239800
2010-01-29,26.062843,26.062843,25.441826,25.486540,14.097032,2218800
2010-02-01,25.635584,26.137365,25.337496,26.087685,14.429532,2926900
2010-02-02,26.057875,26.380804,25.928703,26.360931,14.580671,1852300
2010-02-03,26.271505,26.405645,26.077747,26.266537,14.528462,1116400
2010-02-04,26.062843,26.162207,25.476603,25.481571,14.094282,2053100
2010-02-05,25.496475,25.585903,25.103992,25.516348,14.113518,2241500
2010-02-08,25.859150,26.261568,25.570997,25.675329,14.201453,2479900
2010-02-09,25.908831,26.196983,25.695202,26.082716,14.426782,2483500
2010-02-10,26.659019,26.659019,25.734947,25.898895,14.325108,3337800
2010-02-11,25.824373,26.062843,25.536221,25.948576,14.352590,2335500
2010-02-12,25.705137,25.819405,25.094057,25.471636,14.088787,3184800
2010-02-16,25.625647,25.928703,25.466667,25.928703,14.341602,1894400
2010-02-17,25.978386,25.993290,25.759787,25.859150,14.303127,1712800
2010-02-18,25.859150,26.033035,25.779659,25.983353,14.371824,1334800
2010-02-19,25.898895,26.182079,25.725010,26.057875,14.413042,1823300
2010-02-22,25.874054,26.127430,25.844246,25.983353,14.371824,1686400
2010-02-23,25.953545,26.062843,25.675329,25.923735,14.338846,1910200
2010-02-24,25.953545,25.998257,25.700169,25.784628,14.261909,2263200
2010-02-25,25.446795,25.585903,25.198387,25.536221,14.124512,1654200
2010-02-26,25.506413,25.764755,25.382208,25.729979,14.231682,1892000
2010-03-01,25.725010,26.167173,25.680296,26.057875,14.413042,2141000
2010-03-02,26.132397,26.326155,26.042971,26.112524,14.443274,1766900
2010-03-03,26.216856,26.216856,25.943607,25.988321,14.374576,2074200
2010-03-04,25.968449,26.033035,25.729979,25.829342,14.286638,2237700
2010-03-05,25.938641,26.326155,25.908831,26.311251,14.553191,1305000
2010-03-08,26.276474,26.495071,26.276474,26.405645,14.605399,1501000
2010-03-09,26.331123,26.559656,26.216856,26.475199,14.643875,1255900
2010-03-10,26.514944,26.634178,26.350996,26.609339,14.718072,1709400
2010-03-11,26.480167,26.629211,26.370869,26.629211,14.729061,1566300
2010-03-12,26.629211,26.639147,26.395708,26.554689,14.687843,1134600
2010-03-15,26.505007,26.663988,26.405645,26.619274,14.723562,989800
2010-03-16,26.688829,26.698765,26.495071,26.659019,14.745548,1229500
2010-03-17,26.668957,27.056471,26.634178,27.016726,14.943403,2132500
2010-03-18,27.036598,27.150866,26.927299,27.046534,14.959889,1871100
2010-03-19,27.106152,27.289972,26.981949,27.106152,14.992865,3289500
2010-03-22,26.912395,27.409208,26.827936,27.339655,15.122021,2498100
2010-03-23,27.434050,27.563221,27.260164,27.538380,15.231935,1816300
2010-03-24,27.463858,27.463858,27.225388,27.265133,15.080798,2030000
2010-03-25,27.334686,27.389336,27.200546,27.230356,15.061561,2921300
2010-03-26,27.265133,27.319782,27.081312,27.116089,14.998362,2112000
2010-03-29,27.190611,27.359528,27.140928,27.309845,15.105532,1152500
2010-03-30,27.324751,27.364494,27.185642,27.319782,15.111025,1106900
2010-03-31,27.170738,27.309845,27.036598,27.071375,14.973626,2287900
2010-04-01,26.932268,27.374432,26.634178,26.952139,14.907677,9261100
2010-04-05,26.475199,27.180674,26.281441,26.847809,14.849969,3816800
2010-04-06,26.668957,26.872650,26.624243,26.773287,14.808754,3347300
2010-04-07,26.728573,26.857744,26.649084,26.713669,14.775774,2968000
2010-04-08,26.599401,26.723606,26.405645,26.659019,14.745548,2442200
2010-04-09,26.743479,27.096216,26.634178,27.081312,14.979128,2092100
2010-04-12,27.061440,27.314814,26.996853,27.235323,15.064308,3135300
2010-04-13,27.265133,27.319782,27.096216,27.280037,15.089045,2446900
2010-04-14,27.334686,27.617870,27.195578,27.593029,15.262164,3039400
2010-04-15,27.548317,27.672520,27.369463,27.672520,15.306134,3775100
2010-04-16,27.622839,27.632774,27.349590,27.424112,15.168735,2843400
2010-04-19,27.309845,27.319782,27.021694,27.250229,15.072555,2897900
2010-04-20,27.384367,27.463858,27.180674,27.434050,15.174231,2325100
2010-04-21,27.523476,27.523476,27.240292,27.463858,15.190717,1640200
2010-04-22,27.275068,27.553284,27.021694,27.493666,15.207206,1861000
2010-04-23,27.453922,27.647678,27.255196,27.627806,15.281398,1433000
2010-04-26,27.597998,27.752010,27.523476,27.533411,15.229189,2046500
2010-04-27,27.374432,27.458889,26.837873,26.887554,14.871958,1951500
2010-04-28,27.006790,27.071375,26.385773,26.574562,14.698835,3250200
2010-04-29,26.698765,26.743479,26.450357,26.693796,14.764782,2003100
2010-04-30,26.738510,26.738510,25.993290,26.028067,14.396558,2166900
2010-05-03,26.241695,26.241695,25.744883,25.794563,14.267405,2947100
2010-05-04,25.590870,25.660425,25.009598,25.337496,14.014591,3050700
2010-05-05,25.059280,25.446795,25.059280,25.317623,14.003598,2701100
2010-05-06,25.302719,25.610743,24.373676,24.974821,13.813992,6192200
2010-05-07,25.019535,25.099026,24.353804,24.632021,13.624382,5750600
2010-05-10,25.814436,25.814436,25.084120,25.416986,14.058561,3647900
2010-05-11,25.133802,25.585903,25.118898,25.282846,13.984364,2696400
2010-05-12,25.317623,25.804501,25.317623,25.749851,14.242672,2365900
2010-05-13,25.739914,25.844246,25.461699,25.471636,14.088787,1694900
2010-05-14,25.372272,25.372272,24.632021,24.766159,13.698577,3487500
2010-05-17,24.776096,25.024504,24.497881,24.776096,13.704074,3486300
2010-05-18,24.895330,25.019535,24.478008,24.512785,13.558429,3421700
2010-05-19,24.502848,24.676733,24.249474,24.398518,13.495225,3006200
2010-05-20,24.343868,24.532658,23.698009,23.787437,13.157228,4707600
2010-05-21,23.539030,24.835714,23.375082,24.711510,13.668344,6522400
2010-05-24,24.542593,24.587307,24.150110,24.254442,13.415532,4496600
2010-05-25,23.707947,23.961321,23.399921,23.956354,13.250658,6231400
2010-05-26,24.050749,24.532658,23.981194,24.115334,13.338594,3960300
2010-05-27,24.517754,24.766159,24.403486,24.761192,13.695825,2273200
2010-05-28,24.805904,25.004631,24.607180,24.835714,13.737048,4057700
2010-06-01,24.577370,24.691637,23.782469,23.817245,13.173717,4996800
2010-06-02,23.956354,24.632021,23.896736,24.617115,13.616136,4254600
2010-06-03,24.701574,25.014566,24.632021,24.969852,13.811242,2969400
2010-06-04,24.507816,24.562466,23.668201,23.737755,13.129748,4313300
2010-06-07,23.757627,23.961321,23.499285,23.524126,13.011583,3693600
2010-06-08,23.519157,23.866926,23.444635,23.842087,13.187460,3381300
2010-06-09,23.951385,24.209728,23.707947,23.812277,13.170967,2002000
2010-06-10,24.169983,24.587307,24.070621,24.562466,13.585910,1869800
2010-06-11,24.199793,24.492912,24.165016,24.463104,13.614087,1789300
2010-06-14,24.696606,24.791000,24.378645,24.393549,13.575380,2232100
2010-06-15,24.473040,24.969852,24.433294,24.935076,13.876746,1801300
2010-06-16,24.731382,25.138769,24.627052,25.044374,13.937573,1620400
2010-06-17,25.049343,25.337496,24.920172,25.337496,14.100704,2859500
