Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,20.730000,20.730000,20.450001,20.540001,14.660371,9185600
2010-01-05,20.600000,21.059999,20.469999,20.790001,14.838811,18297100
2010-01-06,20.700001,21.080000,20.580000,21.040001,15.017244,15155100
2010-01-07,21.389999,21.389999,19.959999,20.270000,14.467666,24846500
2010-01-08,20.299999,20.450001,20.080000,20.400000,14.560450,10904100
2010-01-11,20.510000,20.660000,20.270000,20.620001,14.717477,8764900
2010-01-12,20.090000,20.330000,19.750000,19.959999,14.246400,14531200
2010-01-13,20.059999,20.059999,19.870001,19.980000,14.260677,10162700
2010-01-14,20.080000,20.100000,19.620001,19.740000,14.089375,10180300
2010-01-15,19.790001,19.889999,19.559999,19.559999,13.960903,8116600
2010-01-19,19.510000,19.990000,19.469999,19.990000,14.267816,8029700
2010-01-20,19.799999,19.830000,19.600000,19.780001,14.117925,7147900
2010-01-21,19.760000,19.860001,19.100000,19.190001,13.696817,13461700
2010-01-22,19.090000,19.350000,18.799999,18.860001,13.461282,10456100
2010-01-25,19.000000,19.110001,18.639999,19.000000,13.561203,7780400
2010-01-26,18.920000,19.260000,18.910000,18.950001,13.525519,5973100
2010-01-27,19.010000,19.260000,18.809999,19.200001,13.703954,8656600
2010-01-28,19.350000,19.370001,18.959999,19.030001,13.582614,8408600
2010-01-29,19.160000,19.350000,19.020000,19.080000,13.618301,8947700
2010-02-01,19.209999,19.340000,19.100000,19.160000,13.675406,7812400
2010-02-02,19.219999,19.549999,19.209999,19.469999,13.896660,9946100
2010-02-03,19.330000,19.490000,19.020000,19.020000,13.575479,12702900
2010-02-04,19.570000,20.000000,19.250000,19.480000,13.903799,29565900
2010-02-05,19.730000,19.950001,19.600000,19.879999,14.189300,16252200
2010-02-08,19.850000,19.930000,19.660000,19.670000,14.039411,9554100
2010-02-09,19.860001,20.000000,19.740000,19.930000,14.224996,8327600
2010-02-10,19.840000,19.990000,19.600000,19.889999,14.196440,9266900
2010-02-11,19.820000,20.200001,19.760000,20.129999,14.367741,8439900
2010-02-12,19.950001,20.020000,19.680000,19.950001,14.239269,8484000
2010-02-16,19.740000,19.780001,19.520000,19.770000,14.110791,7447000
2010-02-17,19.840000,19.969999,19.740000,19.900000,14.203576,6604200
2010-02-18,19.900000,20.049999,19.820000,19.990000,14.267816,6115800
2010-02-19,19.910000,20.110001,19.780001,19.850000,14.167889,5248600
2010-02-22,19.920000,20.010000,19.709999,19.770000,14.110791,6428700
2010-02-23,19.740000,19.940001,19.559999,19.879999,14.189300,7761000
2010-02-24,19.930000,20.299999,19.889999,20.290001,14.481941,6154900
2010-02-25,20.020000,20.510000,19.879999,20.389999,14.553312,12366800
2010-02-26,21.059999,21.760000,20.850000,21.500000,15.345572,19742500
2010-03-01,21.520000,21.700001,21.410000,21.600000,15.416948,9567300
2010-03-02,21.639999,21.740000,21.360001,21.549999,15.381264,8351200
2010-03-03,21.580000,21.860001,21.450001,21.760000,15.531149,10210000
2010-03-04,22.040001,22.240000,21.860001,22.049999,15.738136,10667000
2010-03-05,21.959999,22.350000,21.900000,22.320000,15.930844,6818000
2010-03-08,22.160000,22.379999,22.070000,22.330000,15.937980,4148900
2010-03-09,22.139999,22.320000,22.090000,22.240000,15.873744,6730800
2010-03-10,22.330000,22.389999,22.120001,22.370001,15.966533,7308300
2010-03-11,22.190001,22.709999,22.090000,22.680000,16.187801,9095600
2010-03-12,22.750000,22.870001,22.670000,22.799999,16.273443,5175100
2010-03-15,22.440001,23.070000,22.440001,23.070000,16.466154,6822100
2010-03-16,23.040001,23.299999,23.010000,23.299999,16.630316,7209600
2010-03-17,23.209999,23.260000,23.030001,23.150000,16.523254,6918000
2010-03-18,23.030001,23.340000,22.950001,23.309999,16.637451,5961000
2010-03-19,23.219999,23.420000,23.070000,23.219999,16.573214,7238000
2010-03-22,23.040001,23.510000,22.980000,23.400000,16.701696,4420200
2010-03-23,23.360001,23.450001,23.120001,23.209999,16.566076,8374000
2010-03-24,23.080000,23.209999,22.950001,23.059999,16.459017,5751000
2010-03-25,23.150000,23.629999,23.070000,23.400000,16.701696,5340600
2010-03-26,23.430000,23.549999,23.170000,23.420000,16.715963,6185600
2010-03-29,23.430000,23.580000,23.040001,23.230000,16.580355,4371800
2010-03-30,23.280001,23.490000,23.160000,23.250000,16.594629,5657900
2010-03-31,23.150000,23.290001,23.049999,23.110001,16.494705,6889700
2010-04-01,23.330000,23.660000,23.299999,23.629999,16.865849,6055300
2010-04-05,23.620001,23.790001,23.410000,23.780001,17.045050,4540500
2010-04-06,23.760000,23.850000,23.459999,23.840000,17.088057,6092500
2010-04-07,23.730000,23.959999,23.620001,23.860001,17.102394,7836600
2010-04-08,25.000000,25.020000,24.330000,24.590000,17.625645,16715300
2010-04-09,24.620001,24.860001,24.500000,24.850000,17.812004,6917900
2010-04-12,25.059999,25.190001,24.820000,24.930000,17.869347,8657600
