Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,39.700001,40.450001,39.520000,39.880001,36.173527,1856900
2010-01-05,39.790001,39.799999,39.090000,39.610001,35.928631,1463300
2010-01-06,39.630001,40.130001,39.340000,39.430000,35.765350,2158300
2010-01-07,39.250000,39.750000,38.919998,39.360001,35.701866,1443400
2010-01-08,39.330002,40.580002,39.110001,40.349998,36.599850,2022100
2010-01-11,40.910000,41.560001,40.709999,41.430000,37.579475,3492100
2010-01-12,40.820000,40.919998,38.650002,38.740002,35.139488,3604800
2010-01-13,39.000000,39.160000,37.680000,38.860001,35.248337,2906400
2010-01-14,38.669998,38.919998,38.000000,38.340000,34.776661,2222300
2010-01-15,38.470001,38.490002,36.630001,36.820000,33.397938,2758300
2010-01-19,36.939999,37.270000,36.680000,37.040001,33.597488,2290800
2010-01-20,36.599998,37.130001,35.939999,37.000000,33.561207,2324500
2010-01-21,36.900002,37.970001,36.389999,36.490002,33.098602,2155800
2010-01-22,36.000000,36.590000,34.279999,34.290001,31.103067,3232400
2010-01-25,34.419998,35.200001,34.349998,34.889999,31.647299,2261200
2010-01-26,34.759998,35.639999,34.490002,35.000000,31.747080,3121600
2010-01-27,34.509998,35.590000,34.340000,35.540001,32.236893,3020100
2010-01-28,35.639999,35.919998,33.209999,33.380001,30.277647,7112200
2010-01-29,33.779999,34.000000,32.599998,33.009998,29.942032,4418800
2010-02-01,33.150002,33.770000,33.029999,33.619999,30.495346,2880300
2010-02-02,33.930000,34.110001,33.520000,33.930000,30.776531,3957400
2010-02-03,33.650002,34.000000,33.000000,33.209999,30.123449,4359200
2010-02-04,32.779999,32.919998,32.070000,32.250000,29.252665,3513000
2010-02-05,32.369999,33.330002,32.160000,33.290001,30.196014,3161100
2010-02-08,33.209999,33.700001,32.660000,32.970001,29.905752,2090600
2010-02-09,33.279999,34.009998,33.020000,33.689999,30.558836,2996400
2010-02-10,33.759998,34.230000,32.980000,33.689999,30.558836,1588900
2010-02-11,33.599998,34.959999,33.279999,34.770000,31.538462,2724300
2010-02-12,34.139999,35.470001,33.810001,35.049999,31.792431,2727400
2010-02-16,35.450001,35.740002,35.330002,35.709999,32.391094,2311600
2010-02-17,35.980000,35.980000,34.970001,35.270000,31.991997,2059200
2010-02-18,35.090000,35.200001,34.259998,35.130001,31.864998,2923700
2010-02-19,34.919998,35.689999,34.720001,35.660000,32.345730,2385200
2010-02-22,35.689999,35.889999,35.169998,35.250000,31.973846,1956400
2010-02-23,35.049999,35.200001,32.759998,33.150002,30.069027,6753100
2010-02-24,33.389999,34.299999,33.310001,33.720001,30.586046,5820100
2010-02-25,33.259998,33.880001,32.669998,33.759998,30.622324,3136800
2010-02-26,33.709999,33.980000,32.980000,33.910000,30.758385,1865700
2010-03-01,34.090000,35.230000,34.090000,35.139999,31.874062,2276000
2010-03-02,35.230000,36.090000,35.180000,35.480000,32.182465,3253600
