Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,16.900000,17.350000,16.799999,17.059999,11.740423,8823100
2010-01-05,17.020000,17.209999,16.790001,16.860001,11.602788,9931300
2010-01-06,16.950001,17.290001,16.870001,17.100000,11.767951,13240700
2010-01-07,17.540001,17.660000,16.959999,17.490000,12.036343,19939600
2010-01-08,17.139999,17.200001,16.850000,16.920000,11.644078,13217600
2010-01-11,17.110001,17.110001,16.379999,16.620001,11.437624,13099600
2010-01-12,16.410000,16.629999,16.200001,16.370001,11.265577,9274500
2010-01-13,16.450001,16.760000,16.389999,16.440001,11.313752,11278300
2010-01-14,16.340000,16.559999,16.170000,16.510000,11.361920,7264700
2010-01-15,16.510000,16.780001,16.340000,16.549999,11.389450,7861400
2010-01-19,16.520000,16.750000,16.520000,16.690001,11.485795,6200100
2010-01-20,16.580000,16.650000,16.309999,16.440001,11.313752,8340000
2010-01-21,16.480000,16.740000,15.710000,15.740000,10.832022,15396400
2010-01-22,15.800000,16.110001,15.440000,15.570000,10.715029,14624100
2010-01-25,15.770000,15.870000,15.480000,15.530000,10.687501,8914100
2010-01-26,15.540000,16.070000,15.390000,15.820000,10.887074,12576900
2010-01-27,15.740000,15.950000,15.460000,15.670000,10.783848,9142100
2010-01-28,15.800000,15.960000,15.530000,15.780000,10.859550,11597800
2010-01-29,16.120001,16.320000,15.920000,15.930000,10.962775,13552000
2010-02-01,15.610000,15.920000,15.340000,15.920000,10.955891,21044900
2010-02-02,15.890000,16.320000,15.770000,16.209999,11.155465,11490300
2010-02-03,16.010000,16.290001,15.890000,16.240000,11.176112,9002500
2010-02-04,16.830000,17.059999,16.410000,16.670000,11.472034,25824900
2010-02-05,16.670000,16.719999,15.800000,16.420000,11.299988,15113100
2010-02-08,16.469999,16.690001,16.240000,16.270000,11.196758,11105900
2010-02-09,16.469999,16.879999,16.320000,16.709999,11.499557,9663700
2010-02-10,16.719999,16.900000,16.510000,16.750000,11.527087,10031500
2010-02-11,16.680000,17.139999,16.530001,17.129999,11.788597,8385100
2010-02-12,16.910000,17.389999,16.760000,17.320000,11.919349,8157000
2010-02-16,17.290001,17.920000,17.290001,17.889999,12.311620,10003000
2010-02-17,17.840000,18.100000,17.760000,17.930000,12.339145,8487300
2010-02-18,17.850000,18.290001,17.670000,18.160000,12.497425,9650600
2010-02-19,18.080000,18.629999,18.080000,18.540001,12.758936,8310900
2010-02-22,18.610001,18.850000,18.330000,18.469999,12.710759,16609800
2010-02-23,18.389999,18.860001,18.280001,18.670000,12.848406,14242200
2010-02-24,18.570000,19.549999,18.570000,19.520000,13.433360,15246300
2010-02-25,19.139999,19.379999,19.030001,19.280001,13.268191,16659700
